Date,Open,High,Low,Close,Adj Close,Volume,Cumulative_Return
2022/10/27,28.299999,28.370001,23.35,23.4,23.025574,514100,
2022/10/28,23.58,24.52,22.709999,24.299999,23.911175,282500,
2022/10/31,24.559999,24.77,23.59,24.41,24.019413,177200,
2022/11/1,24.719999,24.719999,23.4,23.879999,23.497892,169700,
2022/11/2,24.059999,25.120001,23.77,24.129999,23.743891,296000,
2022/11/3,24.059999,24.219999,23.309999,23.48,23.104294,153400,
2022/11/4,23.67,24.049999,22.76,24,23.730179,182600,
2022/11/7,24.01,24.860001,23.610001,24.809999,24.531071,136900,
2022/11/8,24.860001,26.6,24.860001,26.139999,25.846119,218900,
2022/11/9,25.790001,25.82,24.4,24.43,24.155344,124700,
2022/11/10,25.51,26.309999,25.299999,25.959999,25.66814,107200,
2022/11/11,26.01,26.01,25.07,25.4,25.114437,113900,
2022/11/14,25.35,25.65,24.780001,24.83,24.550846,63700,
2022/11/15,25.27,25.59,24.879999,25.290001,25.005674,58800,
2022/11/16,25.25,25.25,24.540001,24.74,24.461859,109600,
2022/11/17,24.540001,25.15,24.5,24.790001,24.511297,53900,
2022/11/18,25.209999,25.209999,23.91,24.07,23.799391,79400,
2022/11/21,24.15,24.209999,23.41,23.879999,23.611525,85500,
2022/11/22,23.98,24.309999,23.66,23.950001,23.68074,54900,
2022/11/23,24.030001,24.360001,23.82,24.139999,23.868603,48900,
2022/11/25,24.02,24.639999,23.91,24.209999,23.937817,51100,
2022/11/28,24.200001,24.209999,23.65,23.940001,23.670855,84500,
2022/11/29,24.02,24.17,23.6,23.690001,23.423662,74000,
2022/11/30,23.700001,25.200001,22.860001,25.15,24.867249,145100,
2022/12/1,25.139999,25.200001,23.75,24.790001,24.511297,169000,
2022/12/2,24.83,25.74,24.26,25.01,24.728821,143900,
2022/12/5,25.01,25.139999,24.280001,24.52,24.244331,120300,
2022/12/6,24.51,24.559999,24.15,24.52,24.244331,102100,
2022/12/7,24.459999,25.190001,24.440001,25.040001,24.758486,137600,
2022/12/8,25.040001,25.27,24.17,24.440001,24.165232,88400,
2022/12/9,24.4,25.24,24.18,24.52,24.244331,67900,
2022/12/12,24.48,24.48,24.030001,24.209999,23.937817,77900,
2022/12/13,25.110001,26.790001,25.040001,26.35,26.053757,275400,
2022/12/14,26.290001,26.9,25.629999,25.870001,25.579155,184800,
2022/12/15,25.639999,26.049999,25.049999,25.82,25.529715,153600,
2022/12/16,25.780001,27.84,25.76,27.610001,27.299593,340700,
2022/12/19,27.51,27.51,26.48,26.65,26.350384,157900,
2022/12/20,26.49,27.290001,26.15,26.959999,26.6569,176700,
2022/12/21,26.950001,27.68,26.950001,27.17,26.864538,134100,
2022/12/22,26.950001,27.299999,26.43,27.299999,26.993076,89400,
2022/12/23,27,27.709999,27,27.469999,27.161165,87700,
2022/12/27,27.51,27.51,26.85,27.139999,26.834873,52900,
2022/12/28,27.190001,27.719999,27.1,27.200001,26.894201,135800,
2022/12/29,27.18,27.700001,27.01,27.629999,27.319368,75700,
2022/12/30,27.540001,27.889999,27.35,27.540001,27.230379,85900,
2023/1/3,27.6,28.620001,27.6,28.559999,28.238913,161600,
2023/1/4,28.719999,29.33,28.559999,29.129999,28.802502,82700,
2023/1/5,29.07,29.15,28.35,28.940001,28.614641,139000,
2023/1/6,29.26,30.299999,29.08,30.030001,29.692385,67400,
2023/1/9,30.09,30.32,29.25,29.27,28.940928,82500,
2023/1/10,29,30.290001,29,30.23,29.890137,62800,
2023/1/11,30.33,30.75,30.059999,30.360001,30.018675,58100,
2023/1/12,30.719999,30.719999,30.059999,30.209999,29.870361,68600,
2023/1/13,30.08,30.440001,29.799999,30.27,29.929688,74700,
2023/1/17,30.33,31.24,30.33,30.559999,30.216425,77600,
2023/1/18,30.76,30.9,30.059999,30.110001,29.771486,54000,
2023/1/19,29.76,30.48,29.51,30.370001,30.028563,52400,
2023/1/20,30.610001,30.77,30.110001,30.57,30.226315,63500,
2023/1/23,30.719999,31.23,30.370001,30.65,30.305414,68100,
2023/1/24,31.73,31.73,30.709999,30.85,30.503166,98700,
2023/1/25,30.700001,30.85,30.34,30.85,30.503166,47700,
2023/1/26,31,31.530001,30.700001,31.49,31.135969,48000,
2023/1/27,31.41,31.67,31.190001,31.290001,30.938219,39800,
2023/1/30,31.139999,31.35,30.68,31.1,30.750355,63400,
2023/1/31,31.219999,32.459999,31.219999,32.419998,32.055511,89300,
2023/2/1,32.490002,32.869999,31.85,32.41,32.045628,76300,
2023/2/2,32.779999,33.09,32.369999,32.700001,32.332367,63600,
2023/2/3,32.34,33.110001,32.099998,32.66,32.404797,106400,
2023/2/6,32.669998,32.98,32.169998,32.490002,32.236126,124000,
2023/2/7,32.389999,32.389999,31.709999,32.200001,31.948391,69800,
2023/2/8,32.130001,32.130001,31.27,31.4,31.154642,67800,
2023/2/9,31.68,31.809999,30.65,30.68,30.440268,73800,
2023/2/10,30.76,31.709999,30.620001,31.620001,31.372923,74800,
2023/2/13,31.66,32.529999,31.549999,32.5,32.246048,82800,
2023/2/14,32.380001,32.98,32.310001,32.73,32.474247,78000,
2023/2/15,32.77,34.32,32.77,34.290001,34.02206,120900,
2023/2/16,33.849998,34.18,33.459999,33.849998,33.585499,92200,
2023/2/17,33.98,34.23,33.389999,33.48,33.218388,90600,
2023/2/21,33.060001,33.709999,32.509998,32.689999,32.434559,131300,
2023/2/22,32.939999,33.23,32.029999,33.009998,32.75206,85600,
2023/2/23,33.009998,35.990002,32.799999,35.459999,35.182919,258800,
2023/2/24,35.330002,35.330002,33.439999,34.02,33.754169,166900,
2023/2/27,34.400002,34.759998,33.799999,34.02,33.754169,101300,
2023/2/28,33.98,34.34,33.740002,33.919998,33.654945,114700,
2023/3/1,33.919998,34.509998,32.91,33.959999,33.694637,124000,
2023/3/2,33.720001,34.130001,33.470001,33.880001,33.615265,91700,
2023/3/3,34,34.139999,33.630001,33.98,33.714481,60200,
2023/3/6,33.98,34.029999,33.07,33.349998,33.089405,104300,
2023/3/7,33.220001,33.849998,33.110001,33.77,33.506123,89900,
2023/3/8,33.740002,33.869999,32.599998,33,32.742138,69500,
2023/3/9,32.959999,33.27,32.34,32.560001,32.30558,66300,
2023/3/10,32.279999,32.380001,31.200001,32.119999,31.869017,168000,
2023/3/13,31.73,32.07,31.030001,31.4,31.154642,103400,
2023/3/14,32.18,32.759998,31.559999,31.889999,31.640812,79600,
2023/3/15,31.299999,31.84,31.02,31.82,31.57136,119200,
2023/3/16,31.389999,32.560001,31.030001,32.209999,31.958313,78600,
2023/3/17,32.130001,32.32,31.34,31.65,31.402687,140200,
2023/3/20,31.84,32.200001,31.34,31.58,31.333235,84700,
2023/3/21,31.99,32.59,31.799999,31.93,31.6805,72600,
2023/3/22,31.85,32.16,31.4,31.450001,31.204252,79100,
2023/3/23,31.620001,31.860001,30.370001,30.610001,30.370815,88200,
2023/3/24,30.4,30.870001,29.9,30.85,30.60894,113100,
2023/3/27,31.15,31.27,30.65,31.1,30.856985,131800,
2023/3/28,31.08,31.4,30.4,30.65,30.410501,241700,
2023/3/29,30.940001,31.08,29.719999,29.73,29.49769,129700,
2023/3/30,30,30.299999,29.34,29.66,29.428238,138000,
2023/3/31,29.940001,30.540001,29.84,30.52,30.281519,130400,
2023/4/3,30.48,30.889999,29.9,30.139999,29.904488,104400,
2023/4/4,30.24,30.24,28.780001,29.09,28.862694,84900,
2023/4/5,29.09,29.299999,28.290001,28.440001,28.217772,110500,
2023/4/6,28.42,28.68,27.9,28.59,28.366598,128100,
2023/4/10,28.57,29.049999,28.51,28.73,28.505505,68900,
2023/4/11,28.82,29.32,28.65,28.92,28.694021,57900,
2023/4/12,29.209999,29.209999,28.620001,28.66,28.436052,54200,
2023/4/13,28.73,28.99,28.59,28.91,28.684099,57900,
2023/4/14,28.950001,29.200001,28.120001,28.18,27.959803,60900,
2023/4/17,28.25,28.51,28.08,28.440001,28.217772,102800,
2023/4/18,28.41,28.969999,28.41,28.620001,28.396364,71700,
2023/4/19,28.530001,28.57,28.16,28.290001,28.068945,48000,
2023/4/20,28.18,28.59,28.18,28.440001,28.217772,41400,
2023/4/21,28.459999,29.049999,28.459999,28.889999,28.664253,89700,
2023/4/24,28.9,29.049999,28.66,28.75,28.525349,32000,
2023/4/25,28.629999,28.629999,28.049999,28.110001,27.89035,40700,
2023/4/26,28.040001,28.23,27.51,27.620001,27.404181,42300,
2023/4/27,27.700001,28.309999,27.700001,28.17,27.949881,50600,
2023/4/28,28.209999,28.77,28.129999,28.709999,28.485659,58300,
2023/5/1,28.799999,29.74,28.799999,29.690001,29.458004,59000,
2023/5/2,29.389999,29.389999,28.469999,28.959999,28.733707,132900,
2023/5/3,29,29.360001,27.83,28.09,27.870506,138700,
2023/5/4,29.17,29.17,26.120001,26.74,26.531054,187900,
2023/5/5,26.93,27.709999,26.59,27.59,27.490583,146900,
2023/5/8,27.5,27.84,27,27.040001,26.942566,41000,
2023/5/9,27.02,27.52,26.879999,27.5,27.400908,49200,
2023/5/10,27.780001,28.4,27.389999,28.26,28.158171,85600,
2023/5/11,27.940001,28.26,27.610001,28,27.899107,46200,
2023/5/12,28.059999,28.59,27.92,28.15,28.048565,62100,
2023/5/15,28.200001,28.41,28.02,28.15,28.048565,94500,
2023/5/16,28.1,28.1,27.23,27.23,27.13188,100300,
2023/5/17,27.33,27.43,26.629999,27.219999,27.121916,103800,
2023/5/18,27.190001,27.85,27.190001,27.82,27.719755,57000,
2023/5/19,28.040001,28.309999,27.27,27.299999,27.201628,45900,
2023/5/22,27.43,27.780001,27.290001,27.639999,27.540403,41100,
2023/5/23,27.559999,27.99,27.370001,27.85,27.749647,72400,
2023/5/24,27.780001,27.780001,27.33,27.620001,27.520477,69100,
2023/5/25,27.49,27.639999,26.42,26.49,26.394547,44400,
2023/5/26,26.57,27.02,26.52,26.82,26.723358,49200,
2023/5/30,26.75,26.93,26.530001,26.540001,26.444368,51300,
2023/5/31,26.549999,26.549999,25.860001,26.16,26.065737,102600,
2023/6/1,26.26,26.27,25.440001,25.49,25.398151,56500,
2023/6/2,25.790001,26.82,25.709999,26.790001,26.693468,89700,
2023/6/5,26.540001,26.549999,25.950001,26.120001,26.025881,51000,
2023/6/6,26.1,27.42,26.1,27.24,27.141846,66200,
2023/6/7,27.299999,28.440001,27.299999,28.370001,28.267775,83500,
